303.5011,946.3091,2920
327.4617,946.3091,2920
254.0919,917.0822,2903
271.4989,895.9163,2836
291.4442,885.8073,2804
319.8359,900.9708,2852
349.3764,917.0822,2903
375.3829,922.4526,2920
226.2254,877.6699,2852
246.8271,867.8223,2820
268.4355,862.8984,2804
289.7812,857.9747,2788
314.4529,862.8984,2804
341.3129,872.7461,2836
371.012,888.133,2886
397.0186,893.3646,2903
205.2407,864.5543,2886
224.9562,849.5759,2836
245.4267,839.9897,2804
268.4355,839.9897,2804
289.7812,835.1966,2788
312.6586,835.1966,2788
335.5361,835.1966,2788
362.5273,844.7828,2820
387.8556,849.5759,2836
204.0317,836.0217,2869
223.6871,821.7432,2820
245.4267,817.0808,2804
266.9037,812.4184,2788
289.7812,812.4184,2788
310.8643,807.756,2772
333.6105,807.756,2772
358.4135,812.4184,2788
383.4792,817.0808,2804
420.8397,845.9292,2903
204.0317,812.5818,2869
223.6871,798.7037,2820
245.4267,794.172,2804
266.9037,789.6404,2788
289.7812,789.6404,2788
312.6586,789.6404,2788
333.6105,785.1087,2772
356.3567,785.1087,2772
381.291,789.6404,2788
408.8074,798.7037,2820
205.2407,793.818,2886
224.9562,780.0651,2836
245.4267,771.2632,2804
268.4355,771.2632,2804
289.7812,766.8623,2788
312.6586,766.8623,2788
335.5361,766.8623,2788
358.4135,766.8623,2788
383.4792,771.2632,2804
411.1269,780.0651,2836
248.2276,756.8948,2836
269.9672,752.6246,2820
291.4442,748.3544,2804
314.4529,748.3544,2804
335.5361,744.0842,2788
360.4704,748.3544,2804
385.6674,752.6246,2820
418.3752,770.2393,2886
249.628,737.864,2852
271.4989,733.7245,2836
291.4442,725.4456,2804
312.6586,721.3061,2788
335.5361,721.3061,2788
390.0438,737.864,2852
418.3752,746.6605,2886
271.4989,710.5543,2836
293.1072,706.5455,2820
337.4617,702.5367,2804
360.4704,702.5367,2804
392.3687,718.8224,2869
254.0919,703.6234,2903
273.0306,691.2621,2852
294.7702,687.3841,2836
335.5361,675.7499,2788
